Date,Close
2020-01-01,
2020-01-02,136.04
2020-01-03,135.45
2020-01-04,
2020-01-05,
2020-01-06,135.21
2020-01-07,133.69
2020-01-08,134.75
2020-01-09,135.64
2020-01-10,136.46
2020-01-11,
2020-01-12,
2020-01-13,135.56
2020-01-14,132.88
2020-01-15,133.12
2020-01-16,133.32
2020-01-17,134.51
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,135.15
2020-01-22,135.07
2020-01-23,135.89
2020-01-24,133.94
2020-01-25,
2020-01-26,
2020-01-27,132.38
2020-01-28,134.69
2020-01-29,132.82
2020-01-30,135.73
2020-01-31,135.0
2020-02-01,
2020-02-02,
2020-02-03,137.79
2020-02-04,137.78
2020-02-05,141.46
2020-02-06,140.15
2020-02-07,140.81
2020-02-08,
2020-02-09,
2020-02-10,140.24
2020-02-11,137.45
2020-02-12,138.37
2020-02-13,138.29
2020-02-14,140.09
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,130.75
2020-02-19,129.06
2020-02-20,129.44
2020-02-21,127.68
2020-02-22,
2020-02-23,
2020-02-24,124.13
2020-02-25,119.31
2020-02-26,115.66
2020-02-27,113.46
2020-02-28,114.93
2020-02-29,
2020-03-01,
2020-03-02,120.27
2020-03-03,122.41
2020-03-04,128.76
2020-03-05,124.0
2020-03-06,121.79
2020-03-07,
2020-03-08,
2020-03-09,113.48
2020-03-10,117.55
2020-03-11,112.4
2020-03-12,102.37
2020-03-13,104.91
2020-03-14,
2020-03-15,
2020-03-16,90.79
2020-03-17,88.87
2020-03-18,73.22
2020-03-19,86.22
2020-03-20,80.9
2020-03-21,
2020-03-22,
2020-03-23,78.39
2020-03-24,81.65
2020-03-25,91.5
2020-03-26,97.69
2020-03-27,94.81
2020-03-28,
2020-03-29,
2020-03-30,97.35
2020-03-31,103.28
2020-04-01,102.37
2020-04-02,102.55
2020-04-03,94.81
2020-04-04,
2020-04-05,
2020-04-06,98.6
2020-04-07,103.14
2020-04-08,107.97
2020-04-09,108.09
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,104.58
2020-04-14,107.49
2020-04-15,105.3
2020-04-16,101.52
2020-04-17,107.07
2020-04-18,
2020-04-19,
2020-04-20,103.22
2020-04-21,101.3
2020-04-22,100.25
2020-04-23,96.72
2020-04-24,97.51
2020-04-25,
2020-04-26,
2020-04-27,103.48
2020-04-28,105.86
2020-04-29,111.48
2020-04-30,107.97
2020-05-01,105.78
2020-05-02,
2020-05-03,
2020-05-04,106.78
2020-05-05,103.25
2020-05-06,95.87
2020-05-07,97.65
2020-05-08,96.63
2020-05-09,
2020-05-10,
2020-05-11,92.81
2020-05-12,94.36
2020-05-13,88.93
2020-05-14,92.57
2020-05-15,91.81
2020-05-16,
2020-05-17,
2020-05-18,96.75
2020-05-19,94.67
2020-05-20,96.97
2020-05-21,96.5
2020-05-22,95.74
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,100.43
2020-05-27,106.93
2020-05-28,105.84
2020-05-29,103.87
2020-05-30,
2020-05-31,
2020-06-01,102.93
2020-06-02,106.05
2020-06-03,113.47
2020-06-04,115.68
2020-06-05,119.03
2020-06-06,
2020-06-07,
2020-06-08,118.96
2020-06-09,113.18
2020-06-10,111.3
2020-06-11,104.61
2020-06-12,107.48
2020-06-13,
2020-06-14,
2020-06-15,108.58
2020-06-16,118.09
2020-06-17,114.1
2020-06-18,116.06
2020-06-19,115.12
2020-06-20,
2020-06-21,
2020-06-22,114.79
2020-06-23,114.72
2020-06-24,113.21
2020-06-25,112.11
2020-06-26,108.17
2020-06-27,
2020-06-28,
2020-06-29,111.25
2020-06-30,111.09
2020-07-01,111.2
2020-07-02,115.86
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,118.65
2020-07-07,117.63
2020-07-08,114.23
2020-07-09,112.29
2020-07-10,113.91
2020-07-11,
2020-07-12,
2020-07-13,114.26
2020-07-14,115.87
2020-07-15,118.45
2020-07-16,119.13
2020-07-17,119.82
2020-07-18,
2020-07-19,
2020-07-20,119.97
2020-07-21,121.74
2020-07-22,121.93
2020-07-23,121.91
2020-07-24,122.05
2020-07-25,
2020-07-26,
2020-07-27,122.87
2020-07-28,115.55
2020-07-29,116.11
2020-07-30,114.76
2020-07-31,112.6
2020-08-01,
2020-08-02,
2020-08-03,112.7
2020-08-04,119.22
2020-08-05,121.34
2020-08-06,121.21
2020-08-07,124.74
2020-08-08,
2020-08-09,
2020-08-10,126.63
2020-08-11,127.77
2020-08-12,126.47
2020-08-13,124.31
2020-08-14,124.41
2020-08-15,
2020-08-16,
2020-08-17,124.69
2020-08-18,123.68
2020-08-19,122.13
2020-08-20,121.25
2020-08-21,120.98
2020-08-22,
2020-08-23,
2020-08-24,119.86
2020-08-25,119.71
2020-08-26,118.15
2020-08-27,119.27
2020-08-28,118.15
2020-08-29,
2020-08-30,
2020-08-31,115.37
2020-09-01,117.51
2020-09-02,120.56
2020-09-03,119.15
2020-09-04,120.18
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,117.65
2020-09-09,116.97
2020-09-10,118.57
2020-09-11,121.12
2020-09-12,
2020-09-13,
2020-09-14,125.31
2020-09-15,126.35
2020-09-16,128.15
2020-09-17,128.59
2020-09-18,126.32
2020-09-19,
2020-09-20,
2020-09-21,121.78
2020-09-22,123.48
2020-09-23,121.54
2020-09-24,123.58
2020-09-25,125.45
2020-09-26,
2020-09-27,
2020-09-28,128.56
2020-09-29,127.58
2020-09-30,130.31
2020-10-01,129.2
2020-10-02,131.52
2020-10-03,
2020-10-04,
2020-10-05,136.09
2020-10-06,135.86
2020-10-07,140.83
2020-10-08,147.18
2020-10-09,144.96
2020-10-10,
2020-10-11,
2020-10-12,144.3
2020-10-13,140.27
2020-10-14,142.03
2020-10-15,140.2
2020-10-16,140.77
2020-10-17,
2020-10-18,
2020-10-19,140.0
2020-10-20,139.84
2020-10-21,139.12
2020-10-22,139.24
2020-10-23,139.8
2020-10-24,
2020-10-25,
2020-10-26,135.65
2020-10-27,136.62
2020-10-28,132.18
2020-10-29,137.96
2020-10-30,139.25
2020-10-31,
2020-11-01,
2020-11-02,143.68
2020-11-03,144.37
2020-11-04,131.1
2020-11-05,132.17
2020-11-06,129.49
2020-11-07,
2020-11-08,
2020-11-09,130.45
2020-11-10,134.62
2020-11-11,136.18
2020-11-12,133.68
2020-11-13,132.66
2020-11-14,
2020-11-15,
2020-11-16,136.35
2020-11-17,135.45
2020-11-18,135.71
2020-11-19,135.04
2020-11-20,134.34
2020-11-21,
2020-11-22,
2020-11-23,133.82
2020-11-24,139.68
2020-11-25,138.81
2020-11-26,
2020-11-27,137.18
2020-11-28,
2020-11-29,
2020-11-30,134.59
2020-12-01,138.16
2020-12-02,135.74
2020-12-03,139.34
2020-12-04,141.14
2020-12-05,
2020-12-06,
2020-12-07,140.79
2020-12-08,139.22
2020-12-09,136.62
2020-12-10,132.77
2020-12-11,133.85
2020-12-12,
2020-12-13,
2020-12-14,130.54
2020-12-15,132.46
2020-12-16,132.71
2020-12-17,134.49
2020-12-18,139.96
2020-12-19,
2020-12-20,
2020-12-21,139.31
2020-12-22,138.08
2020-12-23,137.54
2020-12-24,138.04
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,140.88
2020-12-29,137.6
2020-12-30,141.17
2020-12-31,142.94
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,141.23
2021-01-05,142.23
2021-01-06,154.94
2021-01-07,156.15
2021-01-08,156.94
2021-01-09,
2021-01-10,
2021-01-11,157.1
2021-01-12,160.18
2021-01-13,155.75
2021-01-14,154.81
2021-01-15,155.09
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,153.11
2021-01-20,154.81
2021-01-21,153.11
2021-01-22,152.64
2021-01-23,
2021-01-24,
2021-01-25,151.13
2021-01-26,145.05
2021-01-27,140.74
2021-01-28,143.57
2021-01-29,143.74
2021-01-30,
2021-01-31,
2021-02-01,146.5
2021-02-02,146.43
2021-02-03,146.83
2021-02-04,147.61
2021-02-05,147.4
2021-02-06,
2021-02-07,
2021-02-08,148.6
2021-02-09,150.02
2021-02-10,153.48
2021-02-11,154.27
2021-02-12,158.55
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,156.57
2021-02-17,156.02
2021-02-18,154.81
2021-02-19,158.43
2021-02-20,
2021-02-21,
2021-02-22,156.13
2021-02-23,159.98
2021-02-24,167.85
2021-02-25,162.19
2021-02-26,161.3
2021-02-27,
2021-02-28,
2021-03-01,166.1
2021-03-02,163.18
2021-03-03,164.46
2021-03-04,160.34
2021-03-05,161.72
2021-03-06,
2021-03-07,
2021-03-08,163.34
2021-03-09,162.1
2021-03-10,165.5
2021-03-11,166.07
2021-03-12,166.08
2021-03-13,
2021-03-14,
2021-03-15,166.61
2021-03-16,162.82
2021-03-17,162.88
2021-03-18,162.32
2021-03-19,159.64
2021-03-20,
2021-03-21,
2021-03-22,156.52
2021-03-23,153.01
2021-03-24,155.08
2021-03-25,159.95
2021-03-26,164.54
2021-03-27,
2021-03-28,
2021-03-29,165.08
2021-03-30,166.36
2021-03-31,163.0
2021-04-01,160.72
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,164.49
2021-04-06,164.82
2021-04-07,163.15
2021-04-08,164.55
2021-04-09,166.65
2021-04-10,
2021-04-11,
2021-04-12,168.41
2021-04-13,166.76
2021-04-14,168.15
2021-04-15,168.8
2021-04-16,169.68
2021-04-17,
2021-04-18,
2021-04-19,170.72
2021-04-20,168.56
2021-04-21,171.33
2021-04-22,170.11
2021-04-23,170.55
2021-04-24,
2021-04-25,
2021-04-26,173.36
2021-04-27,174.7
2021-04-28,172.94
2021-04-29,175.49
2021-04-30,172.17
2021-05-01,
2021-05-02,
2021-05-03,173.56
2021-05-04,182.76
2021-05-05,183.04
2021-05-06,184.69
2021-05-07,185.18
2021-05-08,
2021-05-09,
2021-05-10,184.26
2021-05-11,184.92
2021-05-12,181.75
2021-05-13,183.57
2021-05-14,184.67
2021-05-15,
2021-05-16,
2021-05-17,186.53
2021-05-18,183.58
2021-05-19,178.65
2021-05-20,178.44
2021-05-21,178.18
2021-05-22,
2021-05-23,
2021-05-24,178.38
2021-05-25,176.2
2021-05-26,177.66
2021-05-27,179.57
2021-05-28,177.43
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,177.72
2021-06-02,174.69
2021-06-03,177.11
2021-06-04,173.83
2021-06-05,
2021-06-06,
2021-06-07,172.24
2021-06-08,173.25
2021-06-09,172.88
2021-06-10,167.54
2021-06-11,168.64
2021-06-12,
2021-06-13,
2021-06-14,166.21
2021-06-15,166.53
2021-06-16,164.91
2021-06-17,160.71
2021-06-18,160.51
2021-06-19,
2021-06-20,
2021-06-21,163.51
2021-06-22,164.44
2021-06-23,164.86
2021-06-24,170.25
2021-06-25,171.9
2021-06-26,
2021-06-27,
2021-06-28,171.3
2021-06-29,168.51
2021-06-30,168.48
2021-07-01,168.25
2021-07-02,165.49
2021-07-03,
2021-07-04,
2021-07-05,
2021-07-06,165.53
2021-07-07,168.84
2021-07-08,167.32
2021-07-09,169.31
2021-07-10,
2021-07-11,
2021-07-12,169.13
2021-07-13,167.95
2021-07-14,170.31
2021-07-15,170.98
2021-07-16,169.72
2021-07-17,
2021-07-18,
2021-07-19,165.26
2021-07-20,168.74
2021-07-21,170.68
2021-07-22,170.39
2021-07-23,172.42
2021-07-24,
2021-07-25,
2021-07-26,170.34
2021-07-27,170.98
2021-07-28,177.1
2021-07-29,176.74
2021-07-30,174.21
2021-07-31,
2021-08-01,
2021-08-02,173.81
2021-08-03,175.04
2021-08-04,173.89
2021-08-05,172.09
2021-08-06,175.34
2021-08-07,
2021-08-08,
2021-08-09,177.34
2021-08-10,181.32
2021-08-11,187.2
2021-08-12,186.18
2021-08-13,183.69
2021-08-14,
2021-08-15,
2021-08-16,181.76
2021-08-17,179.6
2021-08-18,178.7
2021-08-19,177.77
2021-08-20,177.85
2021-08-21,
2021-08-22,
2021-08-23,179.35
2021-08-24,180.74
2021-08-25,183.85
2021-08-26,181.86
2021-08-27,182.27
2021-08-28,
2021-08-29,
2021-08-30,180.42
2021-08-31,180.31
2021-09-01,180.23
2021-09-02,177.47
2021-09-03,174.86
2021-09-04,
2021-09-05,
2021-09-06,
2021-09-07,171.7
2021-09-08,170.68
2021-09-09,170.68
2021-09-10,172.32
2021-09-11,
2021-09-12,
2021-09-13,172.55
2021-09-14,170.42
2021-09-15,169.69
2021-09-16,167.32
2021-09-17,164.75
2021-09-18,
2021-09-19,
2021-09-20,164.3
2021-09-21,166.38
2021-09-22,168.98
2021-09-23,173.31
2021-09-24,170.74
2021-09-25,
2021-09-26,
2021-09-27,172.84
2021-09-28,171.65
2021-09-29,168.51
2021-09-30,164.05
2021-10-01,167.71
2021-10-02,
2021-10-03,
2021-10-04,166.31
2021-10-05,164.16
2021-10-06,169.43
2021-10-07,171.3
2021-10-08,170.14
2021-10-09,
2021-10-10,
2021-10-11,166.69
2021-10-12,165.67
2021-10-13,165.33
2021-10-14,170.95
2021-10-15,171.58
2021-10-16,
2021-10-17,
2021-10-18,175.08
2021-10-19,174.43
2021-10-20,180.1
2021-10-21,178.88
2021-10-22,179.56
2021-10-23,
2021-10-24,
2021-10-25,185.1
2021-10-26,183.41
2021-10-27,179.44
2021-10-28,183.16
2021-10-29,184.37
2021-10-30,
2021-10-31,
2021-11-01,182.47
2021-11-02,189.12
2021-11-03,189.11
2021-11-04,188.12
2021-11-05,190.14
2021-11-06,
2021-11-07,
2021-11-08,199.54
2021-11-09,199.56
2021-11-10,194.23
2021-11-11,193.24
2021-11-12,196.17
2021-11-13,
2021-11-14,
2021-11-15,196.2
2021-11-16,197.18
2021-11-17,196.28
2021-11-18,192.94
2021-11-19,190.57
2021-11-20,
2021-11-21,
2021-11-22,192.52
2021-11-23,194.3
2021-11-24,196.15
2021-11-25,
2021-11-26,191.83
2021-11-27,
2021-11-28,
2021-11-29,193.68
2021-11-30,186.19
2021-12-01,183.61
2021-12-02,190.24
2021-12-03,185.93
2021-12-04,
2021-12-05,
2021-12-06,191.96
2021-12-07,194.08
2021-12-08,194.82
2021-12-09,195.59
2021-12-10,199.62
2021-12-11,
2021-12-12,
2021-12-13,198.07
2021-12-14,198.33
2021-12-15,200.39
2021-12-16,199.51
2021-12-17,198.92
2021-12-18,
2021-12-19,
2021-12-20,193.13
2021-12-21,196.59
2021-12-22,199.84
2021-12-23,200.49
2021-12-24,
2021-12-25,
2021-12-26,
2021-12-27,201.59
2021-12-28,202.9
2021-12-29,203.03
2021-12-30,200.95
2021-12-31,201.68
2022-01-01,
2022-01-02,
2022-01-03,201.99
2022-01-04,204.54
2022-01-05,202.55
2022-01-06,203.98
2022-01-07,202.01
2022-01-08,
2022-01-09,
2022-01-10,194.39
2022-01-11,194.74
2022-01-12,197.11
2022-01-13,193.41
2022-01-14,186.76
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,185.17
2022-01-19,182.87
2022-01-20,182.87
2022-01-21,180.73
2022-01-22,
2022-01-23,
2022-01-24,183.42
2022-01-25,178.29
2022-01-26,178.44
2022-01-27,178.0
2022-01-28,183.06
2022-01-29,
2022-01-30,
2022-01-31,184.9
2022-02-01,185.96
2022-02-02,184.58
2022-02-03,180.09
2022-02-04,178.81
2022-02-05,
2022-02-06,
2022-02-07,177.23
2022-02-08,180.33
2022-02-09,183.46
2022-02-10,183.57
2022-02-11,181.68
2022-02-12,
2022-02-13,
2022-02-14,178.66
2022-02-15,183.73
2022-02-16,186.27
2022-02-17,182.27
2022-02-18,180.04
2022-02-19,
2022-02-20,
2022-02-21,
2022-02-22,177.85
2022-02-23,170.31
2022-02-24,172.11
2022-02-25,178.26
2022-02-26,
2022-02-27,
2022-02-28,176.67
2022-03-01,169.85
2022-03-02,173.56
2022-03-03,172.65
2022-03-04,172.44
2022-03-05,
2022-03-06,
2022-03-07,165.7
2022-03-08,166.45
2022-03-09,172.12
2022-03-10,170.76
2022-03-11,170.71
2022-03-12,
2022-03-13,
2022-03-14,173.24
2022-03-15,177.22
2022-03-16,176.51
2022-03-17,178.25
2022-03-18,178.64
2022-03-19,
2022-03-20,
2022-03-21,177.53
2022-03-22,177.26
2022-03-23,172.67
2022-03-24,176.08
2022-03-25,179.85
2022-03-26,
2022-03-27,
2022-03-28,182.36
2022-03-29,186.29
2022-03-30,182.2
2022-03-31,178.87
2022-04-01,179.33
2022-04-02,
2022-04-03,
2022-04-04,178.61
2022-04-05,177.55
2022-04-06,174.29
2022-04-07,171.44
2022-04-08,172.25
2022-04-09,
2022-04-10,
2022-04-11,171.53
2022-04-12,170.88
2022-04-13,171.83
2022-04-14,170.17
2022-04-15,
2022-04-16,
2022-04-17,
2022-04-18,169.41
2022-04-19,172.55
2022-04-20,177.82
2022-04-21,176.6
2022-04-22,166.58
2022-04-23,
2022-04-24,
2022-04-25,171.38
2022-04-26,166.01
2022-04-27,167.56
2022-04-28,173.2
2022-04-29,167.76
2022-04-30,
2022-05-01,
2022-05-02,167.49
2022-05-03,172.27
2022-05-04,180.55
2022-05-05,172.42
2022-05-06,165.41
2022-05-07,
2022-05-08,
2022-05-09,158.66
2022-05-10,157.29
2022-05-11,153.94
2022-05-12,160.76
2022-05-13,163.6
2022-05-14,
2022-05-15,
2022-05-16,155.92
2022-05-17,160.54
2022-05-18,156.31
2022-05-19,156.09
2022-05-20,155.82
2022-05-21,
2022-05-22,
2022-05-23,159.6
2022-05-24,157.0
2022-05-25,156.42
2022-05-26,160.36
2022-05-27,165.66
2022-05-28,
2022-05-29,
2022-05-30,
2022-05-31,160.93
2022-06-01,160.61
2022-06-02,164.46
2022-06-03,161.98
2022-06-04,
2022-06-05,
2022-06-06,162.75
2022-06-07,165.23
2022-06-08,159.12
2022-06-09,157.23
2022-06-10,152.62
2022-06-11,
2022-06-12,
2022-06-13,149.32
2022-06-14,147.43
2022-06-15,147.83
2022-06-16,141.47
2022-06-17,141.19
2022-06-18,
2022-06-19,
2022-06-20,
2022-06-21,141.21
2022-06-22,140.39
2022-06-23,138.07
2022-06-24,142.34
2022-06-25,
2022-06-26,
2022-06-27,142.47
2022-06-28,139.95
2022-06-29,139.86
2022-06-30,138.71
2022-07-01,139.07
2022-07-02,
2022-07-03,
2022-07-04,
2022-07-05,141.18
2022-07-06,142.17
2022-07-07,143.76
2022-07-08,142.91
2022-07-09,
2022-07-10,
2022-07-11,144.54
2022-07-12,144.94
2022-07-13,142.8
2022-07-14,143.75
2022-07-15,145.17
2022-07-16,
2022-07-17,
2022-07-18,144.85
2022-07-19,148.93
2022-07-20,150.89
2022-07-21,152.72
2022-07-22,151.93
2022-07-23,
2022-07-24,
2022-07-25,152.66
2022-07-26,152.48
2022-07-27,156.76
2022-07-28,159.02
2022-07-29,161.38
2022-07-30,
2022-07-31,
2022-08-01,160.92
2022-08-02,160.06
2022-08-03,162.28
2022-08-04,166.35
2022-08-05,167.91
2022-08-06,
2022-08-07,
2022-08-08,168.06
2022-08-09,166.43
2022-08-10,170.35
2022-08-11,171.42
2022-08-12,173.97
2022-08-13,
2022-08-14,
2022-08-15,173.66
2022-08-16,174.52
2022-08-17,174.34
2022-08-18,173.93
2022-08-19,171.85
2022-08-20,
2022-08-21,
2022-08-22,168.44
2022-08-23,167.44
2022-08-24,167.43
2022-08-25,171.09
2022-08-26,165.44
2022-08-27,
2022-08-28,
2022-08-29,165.57
2022-08-30,163.15
2022-08-31,162.88
2022-09-01,162.61
2022-09-02,161.37
2022-09-03,
2022-09-04,
2022-09-05,
2022-09-06,160.84
2022-09-07,166.34
2022-09-08,167.12
2022-09-09,168.08
2022-09-10,
2022-09-11,
2022-09-12,167.58
2022-09-13,160.11
2022-09-14,156.75
2022-09-15,158.7
2022-09-16,155.94
2022-09-17,
2022-09-18,
2022-09-19,159.44
2022-09-20,158.67
2022-09-21,156.99
2022-09-22,155.51
2022-09-23,152.25
2022-09-24,
2022-09-25,
2022-09-26,150.61
2022-09-27,149.04
2022-09-28,152.76
2022-09-29,154.36
2022-09-30,154.29
2022-10-01,
2022-10-02,
2022-10-03,156.92
